date: 2018-11-27 ; title: 奉节县朱衣镇三塘村农村移民安置区精准帮扶项目中标结果公告 ; location: 奉节县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181127/a32908eb-f84e-4c86-9ca5-d8847f807d99.html
date: 2018-11-27 ; title: 奉节县朱衣镇仙女村农村移民安置区精准帮扶项目中标结果公告 ; location: 奉节县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181127/98545840-35cc-4962-9e16-9cab3739390b.html
date: 2018-11-27 ; title: 云阳县耀灵镇鸣凤村撤并村通畅工程中标结果公告 ; location: 云阳县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181127/2f5d7977-cbc8-4d1f-a9bf-cf8fc194bc08.html
date: 2018-11-27 ; title: 万州区太龙镇向坪和太阳村(社区) 精准帮扶项目中标结果公告 ; location: 万州区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181127/fa238318-3fb8-45db-af7d-227cff8b6da8.html
date: 2018-11-27 ; title: 重庆市万州区红光小学江南校区艺体中心项目（第二次） ; location: 万州区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181127/2a9bb7b7-3595-462a-a439-bd04203a26c4.html
date: 2018-11-27 ; title: 万州区太龙镇向坪和太阳村(社区) 精准帮扶项目 ; location: 万州区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181127/dd479066-dd47-4624-bbf0-dce621a02b4c.html
date: 2018-11-27 ; title: 万州区五桥街道母猪石滑坡、冉家院子滑坡、陈家坝街道邓家院子滑坡、罗田镇龙坝村1组青龙咀危岩4个区级地质灾害应急抢险治理项目 ; location: 万州区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181127/21c48d86-000f-4fa6-ae7c-7c4d51b7191f.html
date: 2018-11-26 ; title: 开州区水竹沟水库工程（一期）-进场道路部分中标结果公告 ; location: 开州区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181126/943f18cd-3172-4b3d-9539-c4c7a8c04458.html
date: 2018-11-26 ; title: 新桥水库水源涵养与水生态修复工程中标结果公告 ; location: 渝北区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181126/50991c89-f964-44a0-9148-e98d79ca1cbd.html
date: 2018-11-26 ; title: 鱼洞街道百胜村渣胡路路面硬化工程(第二次)中标结果公告 ; location: 巴南区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181126/75ae24bb-da5b-48b0-a89e-3ce031d57173.html
date: 2018-11-26 ; title: 太平河流域防洪护岸综合治理工程（水井湾二期湿地公园）设计（第二次）中标结果公告 ; location: 双桥区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181126/f83d8823-1e74-466d-ab1d-a59bbfb4e3ce.html
date: 2018-11-26 ; title: 鱼洞街道百胜村渣胡路路面硬化工程(第二次)中标结果公告 ; location: 巴南区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181126/e49dc95e-21d2-410f-a983-163d463dfddf.html
date: 2018-11-26 ; title: 国家级非物质文化遗产广阳镇民间故事保护利用设施建设工程中标结果公告 ; location: 南岸区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181126/644cce2d-d634-4da4-b78c-f1ecabd5a243.html
date: 2018-11-26 ; title: 太和镇观草路等14条通畅通达工程中标结果公告 ; location: 合川区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181126/743829c5-700d-4543-aa5e-4292f2705032.html
date: 2018-11-26 ; title: 潼南县田家乡小石村五组等（4）个组等土地整治项目中标结果公告 ; location: 潼南区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181126/d283f382-89db-4490-88bf-b92d81a891df.html
date: 2018-11-26 ; title: 巴教村环境综合整治工程中标结果公告 ; location: 渝中区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181126/bd05436e-7d7d-4be5-89d6-97b86a2a765d.html
date: 2018-11-26 ; title: 府文公园公厕工程中标结果公告 ; location: 沙坪坝区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181126/5f8ced64-24fc-4349-8f12-762e6c539cb8.html
date: 2018-11-26 ; title: 巫溪县天元乡龙滩河渡改桥工程中标结果公告 ; location: 巫溪县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181126/49da4b94-09de-4aeb-b2fd-074841f3be88.html
date: 2018-12-07 ; title: 重庆市江津区长风小学校（暂用名）建设工程附属部分功能室室内装饰工程施工招标公告中标结果公告 ; location: 江津区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181207/c4409778-dafb-4a43-a85a-b3a20d3e8b01.html
date: 2018-12-07 ; title: 石宝镇临溪街区人行道改造工程中标结果公告 ; location: 忠县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181207/b213a043-71c2-4a67-9b22-d5f8ea840614.html
date: 2018-12-07 ; title: 云阳县巴阳镇巴阳村农村移民安置区精准帮扶项目中标结果公告 ; location: 云阳县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181207/3e2372f5-dfe7-47c7-bd13-8151c797cf55.html
date: 2018-12-07 ; title: 双江特色小镇双江老街外墙立面风貌整治项目中标结果公告 ; location: 潼南区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181207/ac8c675b-c9eb-41c7-aa7f-a9dc7ff87e33.html
date: 2018-12-07 ; title: 重庆巫溪至城口高速公路（巫溪段）规划论证报告编制中标结果公告 ; location: 巫溪县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181207/a473c508-ca92-4aa6-ade3-0502a3783ee9.html
date: 2018-12-07 ; title: 秀山县峨溶镇三溪村生产道路硬化工程（第二次）中标结果公告 ; location: 秀山县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181207/1cf9fad2-1f4d-4df9-b180-c12ce5f8a833.html
date: 2018-12-07 ; title: 万州区长滩镇2018年第一批财政涉农资金“四好农村路”通组公路建设工程 ; location: 万州区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181207/4fb0d64b-4478-4372-81f0-1ce215871133.html
date: 2018-12-07 ; title: 万州江南新区沱口凉水井统建还房幼儿园操场工程边坡支护 ; location: 万州区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181207/7cf13c65-cf56-484f-b04e-ec1f4c654ed9.html
date: 2018-12-07 ; title: 重庆市万州食品药品检验实验楼迁扩建项目装饰装修工程监理 ; location: 万州区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181207/250554d2-835c-4e83-a90d-1e0c7f906e66.html
date: 2018-12-06 ; title: 江津区四面山旅游特色小镇康养片区项目预算编制服务中标结果公告 ; location: 江津区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181206/348c7d3b-0fac-42d8-976d-ddb4aeecf7ec.html
date: 2018-12-06 ; title: 开州区义和镇雨污分流改造项目监理中标结果公告 ; location: 开州区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181206/481c99b3-cd8e-4a3c-b259-2a9e9547edf1.html
date: 2018-12-06 ; title: 英利片区绿地建设一、二期项目中标结果公告 ; location: 江津区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181206/41590c92-e052-4809-82ac-0912d98edb68.html
date: 2018-12-06 ; title: 江津区长风小学校（暂用名）建设工程附属部分功能室室内装饰工程监理中标结果公告 ; location: 江津区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181206/788dff0d-25a2-4894-a12e-2d8142b6eac2.html
date: 2018-12-06 ; title: 珞璜工业园绕城南片区十字干道（马南大道、南区大道）道路工程一期监理中标结果公告 ; location: 江津区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181206/2293eab3-663b-4567-83e1-f6275bd878a1.html
date: 2018-12-06 ; title: 云阳县红狮镇向阳集镇污水处理工程（污水收集管网）中标结果公告 ; location: 云阳县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181206/526967ff-68d9-4691-a6f6-d039502e25b3.html
date: 2018-12-06 ; title: 丰都县高镇污水处理厂提标改造工程EPC总承包中标结果公告 ; location: 丰都县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181206/1dd776e3-a715-49b8-95b6-fde27a02f6c1.html
date: 2018-12-06 ; title: 忠县洋渡镇沿江村农村移民安置区精准帮扶项目道路工程中标结果公告 ; location: 忠县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181206/3153c6fa-fd14-42a1-92be-b2a7cd0f2426.html
date: 2018-12-06 ; title: 酉阳县泔溪镇秋河村撤并村通畅工程（杜家坡-大板7组）中标结果公告 ; location: 酉阳县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181206/981457bd-0374-4be1-9899-d6946095947b.html
date: 2018-11-28 ; title: 江津区生活垃圾二次转运站竖式主体压缩设备采购安装工程（第二次）中标结果公告 ; location: 江津区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181128/93d745c5-c73f-4abd-9025-985f4e8a8356.html
date: 2018-11-28 ; title: 秀山县洪安边城景区卫生院建设项目中标结果公告 ; location: 秀山县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181128/55916e51-414b-40d3-b513-37cb5b5a4a9d.html
date: 2018-11-28 ; title: 奉节县夔门长江大桥、梅溪河大桥灯饰工程设计中标结果公告 ; location: 奉节县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181128/cc4f7d85-f030-4c48-90f4-bd622c916ad1.html
date: 2018-11-28 ; title: 璧山高新区青杠组团滨河西路白改黑道路工程中标结果公告 ; location: 璧山区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181128/31873ad7-afd8-4b84-b4ba-c7a07867177a.html
date: 2018-11-28 ; title: 重庆商务职业学院二期标准化考场及保密室建设项目（第二次）中标结果公告 ; location: 沙坪坝区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181128/871859dc-ab1b-4400-a0dc-25897d5f2921.html
date: 2018-11-28 ; title: 北碚区柳荫镇西大路、龙石路改建工程中标结果公告 ; location: 北碚区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181128/88eaa59c-b9f6-4361-8114-4198d5576a55.html
date: 2018-11-28 ; title: 铜梁中心城区南城大道东段等断头路工程（四季花城东路）中标结果公告 ; location: 铜梁区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181128/6863065f-38ff-499a-8b43-6bb37d6802f2.html
date: 2018-11-28 ; title: 鹅岭正街停车库设备采购及安装中标结果公告 ; location: 渝中区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181128/ee78b2d5-78ad-4d41-9242-6008fd6490d7.html
date: 2018-11-28 ; title: 江津区吴滩镇2018年农村小康路改建工程（二标段）（第二次）中标结果公告 ; location: 江津区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181128/c7b4dc2c-b6d9-4163-94e8-ee65827d85ed.html
date: 2018-11-28 ; title: 丰都县G348长江大桥至龙驹段新改建工程（路面工程部分）中标结果公告 ; location: 丰都县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181128/b6d662a7-b9c3-4bec-93b3-c2995ad69c99.html
date: 2018-11-28 ; title: 铜梁区市民服务中心项目——招商中心（铜梁区城市规划展览馆）监理中标结果公告 ; location: 铜梁区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181128/3229593b-2ae9-4c2b-ac49-7efc81ac3073.html
date: 2018-11-28 ; title: 新建两江小学B校区及环湖雅居B区农转城安置房30号楼幼儿园工程监理中标结果公告 ; location: 渝北区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181128/e9f181e1-26a3-4092-a436-c73f7f6f477a.html
date: 2018-11-28 ; title: 酉阳县苍岭镇秋河村撤并村通畅工程（大盖坪-基建连-对门坡）（第二次）中标结果公告 ; location: 酉阳县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181128/96ed9452-02f4-40e6-9fc1-1c028aa7daca.html
date: 2018-11-28 ; title: 重庆市万州三峡文化艺术中心工程智能化设计（第二次） ; location: 万州区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181128/c40ee51a-30dc-4df5-b816-a0fd65279a56.html
date: 2018-11-28 ; title: 万州区2018年第一批财政涉农资金“四好农村路”河堰村通组公路硬化工程 ; location: 万州区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181128/9aa03532-a375-4437-89c2-4f86d8134423.html
date: 2018-11-28 ; title: 万州区白羊镇休闲广场及停车场工程（一期） ; location: 万州区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181128/63650da6-a60d-4c33-9f08-3962e00d30a8.html
date: 2018-11-28 ; title: 重庆市万州区万二村～天鹅村边坡应急治理工程 ; location: 万州区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181128/0452c0bd-821d-402f-b6de-5ca76138954e.html
date: 2018-11-27 ; title: 荣昌区广顺中心幼儿园新建工程项目中标结果公告 ; location: 荣昌区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181127/6fb1839b-c4dc-4b98-aef1-ea0ebf117b4f.html
date: 2018-12-06 ; title: 重庆市开州区高桥场镇供水管网改造工程中标结果公告 ; location: 开州区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181206/e35c4490-1664-4c87-8f05-7bdd4f30a470.html
date: 2018-12-06 ; title: 2017年巫溪县中药材加工新建项目工程（通城镇）第二次中标结果公告 ; location: 巫溪县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181206/ba75fbdf-88b8-4124-8870-a0db006be61a.html
date: 2018-12-06 ; title: 垫江县天台小学校扩建工程中标结果公告 ; location: 垫江县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181206/69c56fe9-ab8d-4d02-a08d-fa2f8bb4f33b.html
date: 2018-12-06 ; title: 万州经开区五桥生态工业园回龙、天星社区公共配套设施项目地质勘察 ; location: 万州区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181206/cc7c59a9-ac45-40fa-97b2-0306c42ed679.html
date: 2018-12-06 ; title: 万州区长岭镇安溪村乡村旅游基础设施建设项目 ; location: 万州区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181206/7b459e3e-9851-4a96-915d-a496c75afd7e.html
date: 2018-12-06 ; title: 万州区2018年第一批财政涉农资金“四好农村路”通组公路建设项目余家镇关龙村通组公路硬化工程 ; location: 万州区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181206/2e11b385-44f9-4cf8-8eb9-9002f64cb25b.html
date: 2018-12-05 ; title: 重庆市北碚区东阳街道力明路、寨石路改建工程（第二次）中标结果公告 ; location: 北碚区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181205/dcace44f-0667-43eb-b779-c8cb98724ebd.html
date: 2018-12-05 ; title: 三环高速夏坝新连接线（全域旅游公路）建设项目勘察、设计等前期工作招标（第二次）中标结果公告 ; location: 江津区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181205/56254980-837d-4675-8849-fa01453fcb6b.html
date: 2018-12-05 ; title: 忠县白公街道银山村硬化道路改造工程中标结果公告 ; location: 忠县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181205/3368a0ea-61aa-4065-9a58-34f4eea92ecd.html
date: 2018-12-05 ; title: 酉阳县泔溪镇 “四好农村路”通畅工程（泔溪村2组小院子—黄家坝2组）中标结果公告 ; location: 酉阳县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181205/3a1018fb-b919-4995-b0b0-ba3f66eb5e60.html
